Time: 1638891477.726116. Hostname: gpu05. MPI rank: 1. Process ID: 152857. 
Time: 1638891756.257569. Hostname: gpu01. MPI rank: 0. Process ID: 55687. 
numElements=3500, AvgDtime=0.000038, Min=0.000027, Max=0.000040, Perc95=0.000035, Variance=-0.000007, StdDev=0.002622, ElementsSec=99864380.952381, GBytesSec=0.744048
numElements=3600, AvgDtime=0.000062, Min=0.000029, Max=0.000062, Perc95=0.000037, Variance=-0.000030, StdDev=0.005436, ElementsSec=97416092.903226, GBytesSec=0.725806
numElements=3700, AvgDtime=0.000058, Min=0.000028, Max=0.000063, Perc95=0.000038, Variance=-0.000026, StdDev=0.005067, ElementsSec=97603300.628931, GBytesSec=0.727201
numElements=3800, AvgDtime=0.000057, Min=0.000028, Max=0.000058, Perc95=0.000037, Variance=-0.000025, StdDev=0.005034, ElementsSec=102828098.064516, GBytesSec=0.766129
numElements=3900, AvgDtime=0.000038, Min=0.000028, Max=0.000042, Perc95=0.000035, Variance=-0.000007, StdDev=0.002578, ElementsSec=111277453.061224, GBytesSec=0.829082
numElements=4000, AvgDtime=0.000059, Min=0.000029, Max=0.000063, Perc95=0.000037, Variance=-0.000026, StdDev=0.005137, ElementsSec=108240103.225806, GBytesSec=0.806452
numElements=4100, AvgDtime=0.000056, Min=0.000030, Max=0.000061, Perc95=0.000037, Variance=-0.000023, StdDev=0.004811, ElementsSec=110946105.806452, GBytesSec=0.826613
numElements=4200, AvgDtime=0.000055, Min=0.000030, Max=0.000059, Perc95=0.000039, Variance=-0.000021, StdDev=0.004577, ElementsSec=107415102.439024, GBytesSec=0.800305
numElements=4300, AvgDtime=0.000041, Min=0.000030, Max=0.000041, Perc95=0.000038, Variance=-0.000007, StdDev=0.002597, ElementsSec=113430862.893082, GBytesSec=0.845126
numElements=4400, AvgDtime=0.000054, Min=0.000031, Max=0.000059, Perc95=0.000039, Variance=-0.000020, StdDev=0.004435, ElementsSec=112530107.317073, GBytesSec=0.838415
numElements=4500, AvgDtime=0.000050, Min=0.000031, Max=0.000058, Perc95=0.000039, Variance=-0.000016, StdDev=0.003941, ElementsSec=115793668.711656, GBytesSec=0.862730
numElements=4600, AvgDtime=0.000053, Min=0.000031, Max=0.000058, Perc95=0.000040, Variance=-0.000018, StdDev=0.004224, ElementsSec=114844038.095238, GBytesSec=0.855655
numElements=4700, AvgDtime=0.000049, Min=0.000032, Max=0.000061, Perc95=0.000039, Variance=-0.000013, StdDev=0.003640, ElementsSec=120940053.987730, GBytesSec=0.901074
numElements=4800, AvgDtime=0.000052, Min=0.000031, Max=0.000064, Perc95=0.000038, Variance=-0.000017, StdDev=0.004099, ElementsSec=126620498.113208, GBytesSec=0.943396
numElements=4900, AvgDtime=0.000044, Min=0.000031, Max=0.000054, Perc95=0.000038, Variance=-0.000010, StdDev=0.003223, ElementsSec=129258425.157233, GBytesSec=0.963050
numElements=5000, AvgDtime=0.000049, Min=0.000030, Max=0.000057, Perc95=0.000038, Variance=-0.000015, StdDev=0.003852, ElementsSec=131896352.201258, GBytesSec=0.982704
numElements=5100, AvgDtime=0.000053, Min=0.000031, Max=0.000055, Perc95=0.000037, Variance=-0.000020, StdDev=0.004463, ElementsSec=138006131.612903, GBytesSec=1.028226
numElements=5200, AvgDtime=0.000048, Min=0.000030, Max=0.000058, Perc95=0.000037, Variance=-0.000015, StdDev=0.003825, ElementsSec=140712134.193548, GBytesSec=1.048387
numElements=5300, AvgDtime=0.000054, Min=0.000031, Max=0.000055, Perc95=0.000036, Variance=-0.000020, StdDev=0.004470, ElementsSec=147217292.715232, GBytesSec=1.096854
numElements=5400, AvgDtime=0.000049, Min=0.000030, Max=0.000054, Perc95=0.000038, Variance=-0.000015, StdDev=0.003886, ElementsSec=142448060.377358, GBytesSec=1.061321
numElements=5500, AvgDtime=0.000053, Min=0.000030, Max=0.000055, Perc95=0.000037, Variance=-0.000019, StdDev=0.004329, ElementsSec=148830141.935484, GBytesSec=1.108871
numElements=5600, AvgDtime=0.000048, Min=0.000031, Max=0.000054, Perc95=0.000037, Variance=-0.000013, StdDev=0.003662, ElementsSec=151536144.516129, GBytesSec=1.129032
numElements=5700, AvgDtime=0.000051, Min=0.000031, Max=0.000055, Perc95=0.000038, Variance=-0.000017, StdDev=0.004105, ElementsSec=149422080.000000, GBytesSec=1.113281
numElements=5800, AvgDtime=0.000044, Min=0.000031, Max=0.000056, Perc95=0.000038, Variance=-0.000009, StdDev=0.003067, ElementsSec=152999768.553459, GBytesSec=1.139937
numElements=5900, AvgDtime=0.000052, Min=0.000031, Max=0.000056, Perc95=0.000039, Variance=-0.000018, StdDev=0.004210, ElementsSec=150892643.902439, GBytesSec=1.124238
numElements=6000, AvgDtime=0.000045, Min=0.000031, Max=0.000057, Perc95=0.000038, Variance=-0.000010, StdDev=0.003234, ElementsSec=157286400.000000, GBytesSec=1.171875
numElements=6100, AvgDtime=0.000050, Min=0.000032, Max=0.000055, Perc95=0.000039, Variance=-0.000014, StdDev=0.003778, ElementsSec=156007648.780488, GBytesSec=1.162348
