Time: 1638879836.363786. Hostname: gpu06. MPI rank: 1. Process ID: 119941. 
Time: 1638879545.356986. Hostname: gpu04. MPI rank: 0. Process ID: 44774. 
numElements=1, AvgDtime=0.000376, Min=0.000005, Max=0.000376, Perc95=0.000006, Variance=-0.000370, StdDev=0.019243, ElementsSec=161319.384615, GBytesSec=0.001202
numElements=2, AvgDtime=0.000036, Min=0.000005, Max=0.000053, Perc95=0.000006, Variance=-0.000031, StdDev=0.005530, ElementsSec=322638.769231, GBytesSec=0.002404
numElements=3, AvgDtime=0.000058, Min=0.000005, Max=0.000060, Perc95=0.000006, Variance=-0.000052, StdDev=0.007231, ElementsSec=483958.153846, GBytesSec=0.003606
numElements=4, AvgDtime=0.000006, Min=0.000005, Max=0.000006, Perc95=0.000006, Variance=-0.000001, StdDev=0.000713, ElementsSec=645277.538462, GBytesSec=0.004808
numElements=5, AvgDtime=0.000050, Min=0.000005, Max=0.000055, Perc95=0.000006, Variance=-0.000044, StdDev=0.006623, ElementsSec=806596.923077, GBytesSec=0.006010
numElements=6, AvgDtime=0.000030, Min=0.000005, Max=0.000052, Perc95=0.000006, Variance=-0.000024, StdDev=0.004939, ElementsSec=967916.307692, GBytesSec=0.007212
numElements=7, AvgDtime=0.000045, Min=0.000005, Max=0.000052, Perc95=0.000006, Variance=-0.000039, StdDev=0.006210, ElementsSec=1129235.692308, GBytesSec=0.008413
numElements=8, AvgDtime=0.000007, Min=0.000005, Max=0.000010, Perc95=0.000006, Variance=-0.000002, StdDev=0.001271, ElementsSec=1290555.076923, GBytesSec=0.009615
numElements=9, AvgDtime=0.000042, Min=0.000006, Max=0.000052, Perc95=0.000007, Variance=-0.000035, StdDev=0.005947, ElementsSec=1258291.200000, GBytesSec=0.009375
numElements=10, AvgDtime=0.000029, Min=0.000005, Max=0.000052, Perc95=0.000007, Variance=-0.000022, StdDev=0.004720, ElementsSec=1398101.333333, GBytesSec=0.010417
numElements=11, AvgDtime=0.000037, Min=0.000005, Max=0.000048, Perc95=0.000007, Variance=-0.000031, StdDev=0.005538, ElementsSec=1537911.466667, GBytesSec=0.011458
numElements=12, AvgDtime=0.000007, Min=0.000006, Max=0.000007, Perc95=0.000007, Variance=-0.000001, StdDev=0.000984, ElementsSec=1735574.068966, GBytesSec=0.012931
numElements=13, AvgDtime=0.000036, Min=0.000005, Max=0.000051, Perc95=0.000007, Variance=-0.000029, StdDev=0.005416, ElementsSec=1880205.241379, GBytesSec=0.014009
numElements=14, AvgDtime=0.000020, Min=0.000005, Max=0.000051, Perc95=0.000006, Variance=-0.000014, StdDev=0.003753, ElementsSec=2258471.384615, GBytesSec=0.016827
numElements=15, AvgDtime=0.000032, Min=0.000005, Max=0.000048, Perc95=0.000007, Variance=-0.000025, StdDev=0.005031, ElementsSec=2169467.586207, GBytesSec=0.016164
numElements=16, AvgDtime=0.000008, Min=0.000005, Max=0.000013, Perc95=0.000006, Variance=-0.000002, StdDev=0.001283, ElementsSec=2581110.153846, GBytesSec=0.019231
numElements=17, AvgDtime=0.000031, Min=0.000006, Max=0.000051, Perc95=0.000007, Variance=-0.000024, StdDev=0.004893, ElementsSec=2376772.266667, GBytesSec=0.017708
numElements=18, AvgDtime=0.000015, Min=0.000006, Max=0.000057, Perc95=0.000007, Variance=-0.000009, StdDev=0.002921, ElementsSec=2516582.400000, GBytesSec=0.018750
numElements=19, AvgDtime=0.000027, Min=0.000006, Max=0.000048, Perc95=0.000007, Variance=-0.000020, StdDev=0.004511, ElementsSec=2656392.533333, GBytesSec=0.019792
numElements=20, AvgDtime=0.000007, Min=0.000005, Max=0.000007, Perc95=0.000007, Variance=-0.000001, StdDev=0.000955, ElementsSec=2892623.448276, GBytesSec=0.021552
numElements=21, AvgDtime=0.000026, Min=0.000006, Max=0.000051, Perc95=0.000007, Variance=-0.000020, StdDev=0.004420, ElementsSec=2936012.800000, GBytesSec=0.021875
numElements=22, AvgDtime=0.000010, Min=0.000005, Max=0.000052, Perc95=0.000007, Variance=-0.000004, StdDev=0.001969, ElementsSec=3181885.793103, GBytesSec=0.023707
