Time: 1638897509.861703. Hostname: gpu05. MPI rank: 1. Process ID: 164604. 
Time: 1638897788.475951. Hostname: gpu01. MPI rank: 0. Process ID: 67711. 
numElements=10000, AvgDtime=0.000142, Min=0.000090, Max=0.000153, Perc95=0.000105, Variance=-0.000043, StdDev=0.006589, ElementsSec=95108934.240363, GBytesSec=0.708617
numElements=20000, AvgDtime=0.000221, Min=0.000157, Max=0.000228, Perc95=0.000194, Variance=-0.000046, StdDev=0.006777, ElementsSec=103054152.334152, GBytesSec=0.767813
numElements=30000, AvgDtime=0.000274, Min=0.000194, Max=0.000275, Perc95=0.000242, Variance=-0.000055, StdDev=0.007417, ElementsSec=123969576.354680, GBytesSec=0.923645
numElements=40000, AvgDtime=0.000315, Min=0.000241, Max=0.000321, Perc95=0.000282, Variance=-0.000056, StdDev=0.007457, ElementsSec=141819239.222316, GBytesSec=1.056636
numElements=50000, AvgDtime=0.000327, Min=0.000269, Max=0.000329, Perc95=0.000321, Variance=-0.000037, StdDev=0.006068, ElementsSec=155806240.713224, GBytesSec=1.160847
numElements=60000, AvgDtime=0.000355, Min=0.000267, Max=0.000355, Perc95=0.000331, Variance=-0.000060, StdDev=0.007752, ElementsSec=181179438.444924, GBytesSec=1.349892
numElements=70000, AvgDtime=0.000634, Min=0.000391, Max=0.000654, Perc95=0.000569, Variance=-0.000218, StdDev=0.014771, ElementsSec=123000117.302053, GBytesSec=0.916422
numElements=80000, AvgDtime=0.000665, Min=0.000441, Max=0.000712, Perc95=0.000633, Variance=-0.000206, StdDev=0.014348, ElementsSec=126382041.431262, GBytesSec=0.941620
numElements=90000, AvgDtime=0.000763, Min=0.000481, Max=0.000784, Perc95=0.000682, Variance=-0.000259, StdDev=0.016094, ElementsSec=131988587.412587, GBytesSec=0.983392
numElements=100000, AvgDtime=0.000827, Min=0.000529, Max=0.000837, Perc95=0.000738, Variance=-0.000273, StdDev=0.016521, ElementsSec=135474935.400517, GBytesSec=1.009367
numElements=110000, AvgDtime=0.000911, Min=0.000578, Max=0.000911, Perc95=0.000788, Variance=-0.000308, StdDev=0.017545, ElementsSec=139598620.272315, GBytesSec=1.040091
numElements=120000, AvgDtime=0.000884, Min=0.000627, Max=0.000967, Perc95=0.000852, Variance=-0.000231, StdDev=0.015206, ElementsSec=140866633.081444, GBytesSec=1.049538
numElements=130000, AvgDtime=0.000984, Min=0.000670, Max=0.001097, Perc95=0.000904, Variance=-0.000288, StdDev=0.016956, ElementsSec=143792067.510549, GBytesSec=1.071334
numElements=140000, AvgDtime=0.000984, Min=0.000619, Max=0.001056, Perc95=0.000913, Variance=-0.000267, StdDev=0.016349, ElementsSec=153356636.197441, GBytesSec=1.142596
numElements=150000, AvgDtime=0.001074, Min=0.000603, Max=0.001479, Perc95=0.000872, Variance=-0.000421, StdDev=0.020514, ElementsSec=172038720.262510, GBytesSec=1.281788
numElements=160000, AvgDtime=0.001143, Min=0.000644, Max=0.001205, Perc95=0.000902, Variance=-0.000469, StdDev=0.021659, ElementsSec=177349006.342495, GBytesSec=1.321353
numElements=170000, AvgDtime=0.001140, Min=0.000683, Max=0.001179, Perc95=0.000924, Variance=-0.000426, StdDev=0.020647, ElementsSec=184008175.483871, GBytesSec=1.370968
